source_key,jurisdiction,authority_class,title,official_url,http_status,content_type,byte_size,sha256,pages,verification_state,repository_snapshot,notes
EU-COMP-001,EU,TREATY_PRIMARY,TFEU Article 101,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:12016E101,202,text/html; charset=UTF-8,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,ACCESS_HTTP_202,NOT_VENDORED__URL_MANIFEST_PRIMARY,Binding treaty competition rule; agreement/concerted-practice analysis remains fact-specific.
EU-COMP-002,EU,TREATY_PRIMARY,TFEU Article 102,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:12016E102,202,text/html; charset=UTF-8,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,ACCESS_HTTP_202,NOT_VENDORED__URL_MANIFEST_PRIMARY,Binding treaty abuse-of-dominance rule; dominance and abuse require market/fact analysis.
EU-COMP-003,EU,STATUTE_OR_REGULATION,Council Regulation (EC) No 139/2004 — EU Merger Regulation,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32004R0139,202,text/html; charset=UTF-8,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,ACCESS_HTTP_202,NOT_VENDORED__URL_MANIFEST_PRIMARY,Binding EU merger-control framework; notification/control thresholds and jurisdiction are transaction-specific.
EU-COMP-004,EU,STATUTE_OR_REGULATION,Regulation (EU) 2022/1925 — Digital Markets Act,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32022R1925,202,text/html; charset=UTF-8,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,ACCESS_HTTP_202,NOT_VENDORED__URL_MANIFEST_PRIMARY,Binding only within DMA scope; not a universal AI competition rule.
EU-COMP-005,EU,OFFICIAL_GUIDANCE,2023 Horizontal Cooperation Guidelines,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=PI_COM:C(2023)4752,202,text/html; charset=UTF-8,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,ACCESS_HTTP_202,NOT_VENDORED__URL_MANIFEST_PRIMARY,Commission guidance for Article 101 self-assessment; standardisation/information-sharing analysis is contextual and non-statutory.
EU-COMP-006,EU,OFFICIAL_STAFF_ANALYSIS,Competition Policy Brief — Competition in Generative AI and Virtual Worlds,https://competition-policy.ec.europa.eu/document/download/c86d461f-062e-4dde-a662-15228d6ca385_en,200,application/pdf,365819,53325cef1a5e3778841f2750c2af513658305da41647babbcc88c3c8d1fb203a,13,OFFICIAL_SOURCE_BODY_AND_MARKERS_VERIFIED,NOT_VENDORED__URL_MANIFEST_PRIMARY,Commission staff policy analysis; market-structure concerns are not violation findings.
INT-COMP-001,EU/GB/US,OFFICIAL_JOINT_STATEMENT,Joint Statement on Competition in Generative AI Foundation Models and AI Products,https://www.justice.gov/atr/media/1361306/dl?inline=,200,application/pdf,251259,ab459d8c5a266a24454b68dab6b5d6c2d87bb4267f5f542ba96474ce613bbde2,3,OFFICIAL_SOURCE_BODY_AND_MARKERS_VERIFIED,NOT_VENDORED__URL_MANIFEST_PRIMARY,Nonbinding joint enforcement-policy statement; each authority retains sovereign decision-making.
US-COMP-001,US,STATUTE_OR_REGULATION,15 U.S.C. § 1 — Sherman Act restraint of trade,https://uscode.house.gov/view.xhtml?edition=prelim&req=granuleid%3AUSC-prelim-title15-section1,200,text/html;charset=UTF-8,212825,b7a671d07fe4d19eb4fce97e3edf0aa2d9cbca4cda9a22b673443a90d3f693b5,,OFFICIAL_SOURCE_BODY_AND_MARKERS_VERIFIED,NOT_VENDORED__URL_MANIFEST_PRIMARY,Current Office of Law Revision Counsel preliminary text; agreement requirement must not be inferred from parallel public statements alone.
US-COMP-002,US,STATUTE_OR_REGULATION,15 U.S.C. § 2 — Sherman Act monopolization,https://uscode.house.gov/view.xhtml?edition=prelim&req=granuleid%3AUSC-prelim-title15-section2,200,text/html;charset=UTF-8,144417,aaf95bd63f7ebb6114130a304e2828248474bdad351acd0cdc917fa4da406e07,,OFFICIAL_SOURCE_BODY_AND_MARKERS_VERIFIED,NOT_VENDORED__URL_MANIFEST_PRIMARY,Current Office of Law Revision Counsel preliminary text; market power and exclusionary conduct are fact-specific.
US-COMP-003,US,STATUTE_OR_REGULATION,15 U.S.C. § 18 — Clayton Act Section 7,https://uscode.house.gov/view.xhtml?edition=prelim&req=granuleid%3AUSC-prelim-title15-section18,200,text/html;charset=UTF-8,157954,bb12c259f9cc18bb3fa197ffd03639ab4b485cc9cc0a402462c282278198f3dc,,OFFICIAL_SOURCE_BODY_AND_MARKERS_VERIFIED,NOT_VENDORED__URL_MANIFEST_PRIMARY,Current Office of Law Revision Counsel preliminary text; acquisition coverage and competitive effect are transaction-specific.
US-COMP-004,US,STATUTE_OR_REGULATION,15 U.S.C. § 45 — FTC Act Section 5,https://uscode.house.gov/view.xhtml?edition=prelim&req=granuleid%3AUSC-prelim-title15-section45,200,text/html;charset=UTF-8,209284,1bd87063700a31ae2cef580955c3c02e073a521f4aaa7f75beb852fffb3ed5c7,,OFFICIAL_SOURCE_BODY_AND_MARKERS_VERIFIED,NOT_VENDORED__URL_MANIFEST_PRIMARY,Current Office of Law Revision Counsel preliminary text; does not convert every AI market concern into a violation.
US-COMP-005,US,OFFICIAL_GUIDANCE,DOJ/FTC 2023 Merger Guidelines,https://www.ftc.gov/system/files/ftc_gov/pdf/P234000-NEW-MERGER-GUIDELINES.pdf,200,application/pdf,1300821,b5c6d8a354c5d0b3b14c8cbc7c40648c6dcd9d5ad8391351d36670249d9cff9f,51,OFFICIAL_SOURCE_BODY_AND_MARKERS_VERIFIED,NOT_VENDORED__URL_MANIFEST_PRIMARY,Nonbinding enforcement guidance; current DOJ page in 2026 continues to list 2023 Merger Guidelines.
